#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
EVT_130204_ACTA;いつかドイツが蘇る時が来るだろう……。;;;;;;;;;;X
EVT_130205_NAME;ポーランドの全プロイセン獲得;;;;;;;;;;X
EVT_130205_DESC;ドイツと連合国の講和条約に基づいて、ポーランドに全プロイセンを割譲しなくてはならない。;;;;;;;;;;X
EVT_130205_ACTA;OK;;;;;;;;;;X
EVT_130206_NAME;大ポーランドの復活;;;;;;;;;;X
EVT_130206_DESC;ポーランドとドイツの戦端が開かれた最悪の一日と、それに続く永遠とも思える絶望的な戦いの末に、ついに祖国を守りぬいたポーランド軍。その勇敢さを目にしたドイツ政府は大いに動揺した。事前に予想されなかったポーランドの奮闘によって、膠着した戦線を見た連合国は重い腰をあげ、ついにジークフリート線を破り、西部戦線で全面攻勢に出た。東西に戦線を抱えたドイツ軍は勢力の分散を余儀なくされ、やがて徐々に押し込まれていった。ベルリンを失って降伏したドイツと連合国の講和条約に基づき、わが国は多額の賠償金を獲得し、さらに全プロイセン地方が与えられるのだ。ポーランドは祖国滅亡の大いなる危機に打ち勝ち、その未来は輝いている。;;;;;;;;;;X
EVT_130206_ACTA;偉大なポーランド帝国の復活だ！;;;;;;;;;;X
EVT_130207_NAME;フランスの勝利;;;;;;;;;;X
EVT_130207_DESC;ドイツと連合国の講和条約に基づいて、わが国は多額の賠償金を獲得し、さらにザール地方とラインラントの支配権が与えられる。これは全権大使ジャン・モネの強い主張が通ったものだ。これらの炭鉱地域を獲得したことによって、フランスの鉄鋼生産は150パーセントまで引き上げられ欧州最大の鉄鋼生産国になることが予想される。今やフランスは再び欧州を制し、世界の中心となったのだ。;;;;;;;;;;X
EVT_130207_ACTA;OK;;;;;;;;;;X
EVT_130208_NAME;イタリアの全チロル獲得;;;;;;;;;;X
EVT_130208_DESC;ドイツと連合国の講和条約に基づいて、イタリアに全チロルを割譲しなくてはならない。;;;;;;;;;;X
EVT_130208_ACTA;OK;;;;;;;;;;X
EVT_130209_NAME;イタリアの全チロル獲得;;;;;;;;;;X
EVT_130209_DESC;ドイツと連合国の講和条約に基づいて、我が国は賠償金を獲得し、全チロルが与えられる。さらに、ドイツの拡大を防ぐために、その発端であるところのオーストリアの主権は制限され我が国の管理下に置かれる。;;;;;;;;;;X
EVT_130209_ACTA;OK;;;;;;;;;;X
EVT_130210_NAME;ドイツとの和平交渉;;;;;;;;;;X
EVT_130210_DESC;ベルリンが連合軍の手に落ち、ドイツの工場の大半が占領されるか、破壊されている。機は熟した。和平交渉を提案する時だ。;;;;;;;;;;X
EVT_130210_ACTA;降伏を求める;;;;;;;;;;X
EVT_130210_ACTB;戦争を継続する;;;;;;;;;;X
EVT_130211_NAME;ドイツの降伏;;;;;;;;;;X
EVT_130211_DESC;1939年9月に始まった連合国とドイツの戦争は、フランスを中心とした連合軍の勝利に終わった。ベルリンを占拠した連合軍は我々に降伏を求めている。;;;;;;;;;;X
EVT_130211_ACTA;降伏;;;;;;;;;;X
EVT_130211_ACTB;まだ希望は残っている;;;;;;;;;;X
EVT_130212_NAME;占領地の剥奪;;;;;;;;;;X
EVT_130212_DESC;連合軍に無条件降伏したドイツは戦争中に占領した国家から撤退することとなる。;;;;;;;;;;X
EVT_130212_ACTA;OK;;;;;;;;;;X
EVT_130213_NAME;ニュルンベルク裁判;;;;;;;;;;X
EVT_130213_DESC;ニュルンベルクでドイツの戦争犯罪が裁かれる国際軍事裁判が開かれた。ドイツ与党のナチス党は解体され、主要な指導者は起訴されて平和に対する罪を裁かれた。;;;;;;;;;;X
EVT_130213_ACTA;OK;;;;;;;;;;X
EVT_130214_NAME;ニュルンベルク裁判;;;;;;;;;;X
EVT_130214_DESC;講和会議では、多額の賠償金を支払うことに加えて、フランスにルールとラインラントを割譲することが決定した。戦後は軍事政権が建てられて、荒廃したドイツの再建を担うこととなる。;;;;;;;;;;X
EVT_130214_ACTA;いつかドイツが蘇る時が来るだろう……。;;;;;;;;;;X
EVT_130215_NAME;ポーランドの全プロイセン獲得;;;;;;;;;;X
EVT_130215_DESC;ドイツと連合国の講和条約に基づいて、ポーランドに全プロイセンを割譲しなくてはならない。;;;;;;;;;;X
EVT_130215_ACTA;OK;;;;;;;;;;X
EVT_130216_NAME;大ポーランドの復活;;;;;;;;;;X
EVT_130216_DESC;ポーランドとドイツの戦端が開かれた最悪の一日と、それに続く永遠とも思える絶望的な戦いの末に、ついに祖国を守りぬいたポーランド軍。その勇敢さを目にしたドイツ政府は大いに動揺した。事前に予想されなかったポーランドの奮闘によって、膠着した戦線を見た連合国は重い腰をあげ、ついにジークフリート線を破り、西部戦線で全面攻勢に出た。東西に戦線を抱えたドイツ軍は勢力の分散を余儀なくされ、やがて徐々に押し込まれていった。ベルリンを失って降伏したドイツと連合国の講和条約に基づき、わが国は多額の賠償金を獲得し、さらに全プロイセン地方が与えられるのだ。ポーランドは祖国滅亡の大いなる危機に打ち勝ち、その未来は輝いている。;;;;;;;;;;X
EVT_130216_ACTA;偉大なポーランド帝国の復活だ！;;;;;;;;;;X
EVT_130217_NAME;フランスの勝利;;;;;;;;;;X
EVT_130217_DESC;ドイツと連合国の講和条約に基づいて、わが国は多額の賠償金を獲得し、さらにザール地方とラインラントの支配権が与えられる。これは全権大使ジャン・モネの強い主張が通ったものだ。これらの炭鉱地域を獲得したことによって、フランスの鉄鋼生産は150パーセントまで引き上げられ欧州最大の鉄鋼生産国になることが予想される。今やフランスは再び欧州を制し、世界の中心となったのだ。;;;;;;;;;;X
EVT_130217_ACTA;OK;;;;;;;;;;X
EVT_130218_NAME;イタリアの全チロル獲得;;;;;;;;;;X
EVT_130218_DESC;ドイツと連合国の講和条約に基づいて、イタリアに全チロルを割譲しなくてはならない。;;;;;;;;;;X
EVT_130218_ACTA;OK;;;;;;;;;;X
EVT_130219_NAME;イタリアの南チロル獲得;;;;;;;;;;X
EVT_130219_DESC;ドイツと連合国の講和条約に基づいて、我が国は賠償金を獲得し、さらに全チロルが与えられる。;;;;;;;;;;X
EVT_130219_ACTA;OK;;;;;;;;;;X
EVT_130220_NAME;ドイツとの和平交渉;;;;;;;;;;X
EVT_130220_DESC;ベルリンが連合軍の手に落ち、ドイツの工場の大半が占領されるか、破壊されている。機は熟した。和平交渉を提案する時だ。;;;;;;;;;;X
EVT_130220_ACTA;降伏を求める;;;;;;;;;;X
EVT_130220_ACTB;戦争を継続する;;;;;;;;;;X
EVT_130221_NAME;ドイツの降伏;;;;;;;;;;X
EVT_130221_DESC;1939年9月に始まった連合国とドイツの戦争は、ポーランドを中心とした連合軍の勝利に終わった。ベルリンを占拠した連合軍は我々に降伏を求めている。;;;;;;;;;;X
EVT_130221_ACTA;降伏;;;;;;;;;;X
EVT_130221_ACTB;まだ希望は残っている;;;;;;;;;;X
EVT_130222_NAME;占領地の剥奪;;;;;;;;;;X
EVT_130222_DESC;連合軍に無条件降伏したドイツは戦争中に占領した国家から撤退することとなる。;;;;;;;;;;X
EVT_130222_ACTA;OK;;;;;;;;;;X
EVT_130223_NAME;ニュルンベルク裁判;;;;;;;;;;X
EVT_130223_DESC;ニュルンベルクでドイツの戦争犯罪が裁かれる国際軍事裁判が開かれた。ドイツ与党のナチス党は解体され、主要な指導者は起訴されて平和に対する罪を裁かれた。;;;;;;;;;;X
EVT_130223_ACTA;OK;;;;;;;;;;X
EVT_130224_NAME;ニュルンベルク裁判;;;;;;;;;;X
EVT_130224_DESC;講和会議では、多額の賠償金を支払うことに加えて、フランスにルールとラインラントを割譲することが決定した。戦後は軍事政権が建てられて、荒廃したドイツの再建を担うこととなる。;;;;;;;;;;X
EVT_130224_ACTA;いつかドイツが蘇る時が来るだろう……。;;;;;;;;;;X
EVT_130225_NAME;ポーランドの全プロイセン獲得;;;;;;;;;;X
EVT_130225_DESC;ドイツと連合国の講和条約に基づいて、ポーランドに全プロイセンを割譲しなくてはならない。;;;;;;;;;;X
EVT_130225_ACTA;OK;;;;;;;;;;X
EVT_130226_NAME;大ポーランドの復活;;;;;;;;;;X
EVT_130226_DESC;ポーランドとドイツの戦端が開かれた最悪の一日と、それに続く永遠とも思える絶望的な戦いの末に、ついに祖国を守りぬき、ドイツ軍を押し返しまでしたポーランド軍。その勇敢さを目にしたドイツ政府は大いに動揺した。事前に予想されなかったポーランドの奮闘によって、膠着した戦線を見た連合国は重い腰をあげ、ついにジークフリート線を破り、西部戦線で全面攻勢に出た。東西に戦線を抱えたドイツ軍は勢力の分散を余儀なくされ、やがて徐々に押し込まれていった。ベルリンにポーランド国旗を掲げられて降伏したドイツと連合国の講和条約に基づき、わが国は多額の賠償金を獲得し、さらに全プロイセン地方が与えられるのだ。ポーランドは祖国滅亡の大いなる危機に打ち勝ち、その未来は輝いている。;;;;;;;;;;X
EVT_130226_ACTA;偉大なポーランド帝国の復活だ！;;;;;;;;;;X
EVT_130227_NAME;フランスの戦後条件;;;;;;;;;;X
EVT_130227_DESC;ドイツと連合国の講和条約に基づいて、わが国は多額の賠償金を獲得し、さらにザール地方とラインラントの支配権が与えられる。これは全権大使ジャン・モネの強い主張が通ったものだ。これらの炭鉱地域を獲得したことによって、フランスの鉄鋼生産は150パーセントまで引き上げられ欧州最大の鉄鋼生産国になることが予想される。今やフランスは再び欧州を制し、世界の中心となったのだ。;;;;;;;;;;X
EVT_130227_ACTA;OK;;;;;;;;;;X
EVT_130250_NAME;ドイツの危機;;;;;;;;;;X
EVT_130250_DESC;「欧州大戦」は、ドイツ自身の破滅を招く結果となった。フランスはベネルクスの中立の壁を手に取り、アルザスロレーヌ地域からバイエルン地方に向け大軍を派遣。ポーランドはまずドイツの警戒心をポーランド側にも向けさせて、フランス側に軍が集結するのを防いだ。当時としては先進的な陸軍を備えていたドイツも東西両面からの同時攻撃を凌ぐことは出来ず、ドイツ側の要塞の防衛軍が壊滅したことからフランス軍は主力をドイツ国内に次々送り込み、趨勢は決した。ドイツは国土の大半を占領され、国家の消滅を避けるためにフランスとの講和を呑まざるを得なくなった。その後締結されたロストク条約で、ドイツは多くの領土を失った。ライン地域はフランスに、オストプロイセン・シュレジエン地域はポーランドに割譲。国力はおよそ65%にまで低下、一時国内は革命寸前の様相を呈していた。;;;;;;;;;;X
EVT_130250_ACTA;なんてざまだ;;;;;;;;;;X
EVT_130251_NAME;ドイツの危機;;;;;;;;;;X
EVT_130251_DESC;「欧州大戦」は、ドイツ自身の破滅を招く結果となった。フランスはベネルクスの中立の壁を手に取り、アルザスロレーヌ地域からバイエルン地方に向け大軍を派遣。ポーランドはまずドイツの警戒心をポーランド側にも向けさせて、フランス側に軍が集結するのを防いだ。当時としては先進的な陸軍を備えていたドイツも東西両面からの同時攻撃を凌ぐことは出来ず、ドイツ側の要塞の防衛軍が壊滅したことからフランス軍は主力をドイツ国内に次々送り込み、趨勢は決した。ドイツは国土の大半を占領され、国家の消滅を避けるためにフランスとの講和を呑まざるを得なくなった。その後締結されたロストク条約で、ドイツは多くの領土を失った。ライン地域はフランスに、オストプロイセン・シュレジエン地域はポーランドに割譲。国力はおよそ65%にまで低下、一時国内は革命寸前の様相を呈していた。;;;;;;;;;;X
EVT_130251_ACTA;なんてざまだ;;;;;;;;;;X
EVT_130252_NAME;ドイツの危機;;;;;;;;;;X
EVT_130252_DESC;「欧州大戦」は、ドイツ自身の破滅を招く結果となった。ポーランドはダンツィヒについて決して譲ることはなくドイツと戦争に至ったが、ポーランドは英仏が保証してくれるであろうからと他人頼りでのみ戦いに赴いたわけではなかった。ドイツ軍の連携がまだ完璧でないその隙をついてポーランド軍は勇気と知恵を奮い、ダンツィヒどころか東プロイセンからドイツ軍を放逐するとオーデル川まで進撃しドイツの攻撃をしのげる環境を作った。本来ならばポーランドはその後背をソビエト連邦に突かれるのだからすぐにポーランドの防御線は崩れるとフォン・リッペントロップは語ったが、それは成らなかった。いつまでもワルシャワにたどり着けないドイツ軍を見て、ソビエト連邦はポーランド以外を相手取ることにしたのだ。全ての戦線はいくらかの期間膠着していたものの、フランス軍がようやく動き出してドイツ軍が西部に増援を送らねばならない状態になると、ポーランド軍はその隙間を撃ち抜いてベルリンを掠め取ってしまった。ポーランド軍に首都を奪われたことがドイツ軍将兵に与えた影響は大きく、その後ドイツ軍が国土への大規模な侵入を許すのにそう時間はかからなかった。ドイツは国土の大半を占領され、国家の消滅を避けるためにフランスとの講和を呑まざるを得なくなった。その後締結されたロストク条約で、ドイツは多くの領土を失った。ライン地域はフランスに、オストプロイセン・シュレジエン地域はポーランドに割譲。国力はおよそ65%にまで低下、一時国内は革命寸前の様相を呈していた。;;;;;;;;;;X
EVT_130252_ACTA;なんてざまだ;;;;;;;;;;X
EVT_130253_NAME;廃墟からの復活;;;;;;;;;;X
EVT_130253_DESC;「摂政」ルートヴィヒ・ベックは国家を消滅から救いヒトラーという独裁者をドイツから放逐したという点では評価されていたものの、これからのドイツを担えるのかどうかについては疑問があった。ロストク条約での取り決めにより多くの政治犯が釈放ないしは帰国していることから、ドイツを復活させるために指導者を普通選挙により据え直すべきであるという声が上がるのは自然な流れであった。ドイツ国内での自由を手に入れた元政治家たちは自らの支持者と素早く合流し、ドイツの新体制に参画すべく準備を始めていた。;;;;;;;;;;X
EVT_130253_ACTA;フォーゲルらによる議会制民主主義運動こそ国家再建の要だ;;;;;;;;;;X
EVT_130253_ACTB;シューマッハーらによる議会制民主主義運動こそ国家再建の要だ;;;;;;;;;;X
EVT_130253_ACTC;アデナウアーはケルンどころかドイツ全てを振興させられる人間だ;;;;;;;;;;X
EVT_130253_ACTD;国防軍が政府の大勢を握り直した;;;;;;;;;;X
EVT_130254_NAME;ドイツ復活への道;;;;;;;;;;X
EVT_130254_DESC;ヒトラーが権力掌握して以降発の真っ当な国政選挙が行われた後、ドイツ帝国銀行（ライヒスバンク）と財務省は即座に経済の回復に関する国内素案を発表した。ライン地域を失って喪失した重工業力を代替する工業地帯をキール～ミュンヘンを結ぶ地域で再建し、また戦時に向けて規模の縮小されつつあったアウトバーン計画を再開、ヒトラー政権下で問題となっていたインフレと軍事費の増大を避けつつドイツの失われた国力を復活させようというものであった。レッセフェール的な経済的自由主義と社会民主主義的な混合経済の中庸を行くもので、ヒャルマル・シャハトの市場経済主義的な考えともまた別のものではあるが、消費財の生産促進こそが考えの根幹にあるという部分は共通している。ひどい敗戦を越えて、ドイツはなお立ち上がる力があると皆確信している。ナチスには終焉が訪れたかもしれないが、ドイツにはそうではないのだ。;;;;;;;;;;X
EVT_130254_ACTA;国家再建の為にあらゆる手を尽くせ;;;;;;;;;;X
EVT_130254_ACTB;それはブルジョアジーの夢想だ！;;;;;;;;;;X
EVT_130255_NAME;ドイツ復活への道 ― 5年が経過;;;;;;;;;;X
EVT_130255_DESC;ドイツの状態が良くなってきていると感じられるようになったのは、アウトバーンの総延長が戦前を500km上回ったというニュースが入って来た頃からである。これも最初は国が事業を動かしていたが、今は民間企業が政府の委託を受けて建設を進めていて、建築業はとても賑わっているようだ。造船所がある以外はただの海沿いの田舎町であったキールも、今はハブポートとして、ドイツ製品の輸出拠点として大きな成長を遂げた。最近はイギリスへの輸出が好調だそうで、キール―ミュンヘン線（KM線）開発計画での助成を受けて建てられた新しい工場はせわしなく新製品を生み出している。悲観的な経済指針を予測していた学者たちでさえも、流石に今日を見て予測を上方修正せざるを得なくなっているようだ。そういえば、フランスへの賠償金とやらもあった。あったが、それが我々の生活に重しをつけているのかといえば……そうは感じない。確かによく見ると政府歳出に賠償金の項もあるのだが、今のドイツ経済の状況から勘案すると微々たる量であるようにすら感じられる。ああ、銃を持たずとも食べるに困らないことのなんと素晴らしきことよ。週末はどうしようか。タイプ１を磨いて、妻と子を連れて新開通のアウトバーンにでも行ってみようか。;;;;;;;;;;X
EVT_130255_ACTA;アドラーは灰の中から今飛び立とうとしているぞ！;;;;;;;;;;X
EVT_130256_NAME;フランス占領地域における大規模ストライキ;;;;;;;;;;X
EVT_130256_DESC;戦争賠償のために占領されているケルンでは最近ストライキが頻発している。特にドイツ政府からそれに関与しているようなことは無いのだが、これは日に日に組織化されて、今やフランス政府の頭痛の種になっている。……どうやら元ケルン市長――コンラート・アデナウアーの仕業であるようだ。ケルン生まれケルン育ちの彼はフランスが占領地域でのドイツ人追放に熱心でないことを利用してドイツ人を組織化し、「ラインラント・ドイツ人党」を率いている。フランスは国是故にこれをあまり強く取り締まることも出来ず、だんだん大規模化するストライキに困らされているようであるのだ。;;;;;;;;;;X
EVT_130256_ACTA;さいですか;;;;;;;;;;X
EVT_130257_DESC;ここ数ヶ月、ラインラント州での反仏運動が激しさを増している。戦前にケルン市長を務めていたコンラート・アデナウアーという運動家が首謀してストライキを組織化していることは分かっている。アデナウアーとその一味を取り締まってもおそらく次の運動家が現れるのだろう。いっそのこと、占領地域におけるドイツ系団体の活動を全て取り締まってしまうべきかもしれない。そうすれば治安は守れるだろう。ただし、我々が民主主義国家として存在していることは形骸化するであろうが。;;;;;;;;;;X
EVT_130257_ACTA;現行法の範囲でストライキの統制に努めよ;;;;;;;;;;X
EVT_130257_ACTB;この機会に、ドイツ人の団体活動権を制限せよ;;;;;;;;;;X
EVT_130258_NAME;ドイツの再起;;;;;;;;;;X
EVT_130258_DESC;ドイツとの戦いから5年の月日が流れた。彼らは今や失った経済力を取り戻しつつある。大戦による多額の賠償金とルール地方の損失で多くを失っているはずなのに、彼らはその損失分を取り返して、再び富みつつあるのだ。一方のフランスはといえば、考えているほど順調ではない。ドイツ系人口の衝突などからザール地方とラインラントからの収益は当時の全権大使ジャン・モネが描いていた程は上がっておらず、人々はドイツとの生活の差に不満を抱いており、戦勝によって収まったかに見えた国政への不信が再び顕在化しつつあった。;;;;;;;;;;X
EVT_130258_ACTA;我々が何か間違いを犯したとでも？;;;;;;;;;;X
EVT_130259_NAME;民需の鈍化;;;;;;;;;;X
EVT_130259_DESC;対独戦勝後のフランスの政府歳入は、ドイツからの賠償金と占領地域からの利益が重要な役割をはたすことを前提としていた。ところが占領地域での反独活動の活発化により、フランスの財政状況は再び悪化しつつあり、世界恐慌時に後戻りするのではないかと言う恐怖が人々に広まりつつあった。それでも、フランスはなんとか致命傷を免れていた。その要因の一つは好景気を背景に気前よく賠償金を支払うドイツであった。支払期限を前倒しすらするドイツのこの支払額の多さはフランス人になお大きな不安感を与えた。ドイツはきれいな体になった上で、また我々への侵略を考えているのではないか、と。;;;;;;;;;;X
EVT_130259_ACTA;我々はまだドイツを警戒せねばならない！;;;;;;;;;;X
EVT_130260_NAME;フランス王国の政治的不安定;;;;;;;;;;X
EVT_130260_DESC;ドイツの好景気と対象になるような不景気と国内での反独感情の（再びの）興りを受けて、我が国は政治的に不安定となりつつある。今日もまた宰相がすげ替えられたわけだが、おそらく彼も有権者の人気を得るために存在しないドイツの脅威を唱えて党内闘争を勝ち上がってきただけの者なのだろう。;;;;;;;;;;X
EVT_130260_ACTA;いつまで政治家同士で争い続けるつもりだ？;;;;;;;;;;X
EVT_130261_NAME;ドイツからの資産引き上げ;;;;;;;;;;X
EVT_130261_DESC;対独戦勝後に定められたロストク講和条約では、ドイツの平和的な未来のために連合国が様々な形でドイツ国内に出資することを取り決めていた。経済的な結びつきを強くすることで、ドイツの英仏への経済的な依存を強め、「戦争」が非現実的な選択肢となるようにすることをもくろんでいた。昨今、ドイツはそれらを十二分に活用して経済復興を達成していた。少なくともこれはロンドン資本から見返りを得られているイギリスにとっては歓迎すべきことであった一方で、順調すぎる成長はフランスにとっては面白くないことであった。フランスは「ドイツはフランを使って過剰な利益を上げ、我々への脅威になりつつある」という論調を使って、自国民を宥めると共に更にドイツの国際市場での孤立感を演出しようと考えた。;;;;;;;;;;X
EVT_130261_ACTA;ドイツへの投資を引き上げて芋野郎を踏み留まらせろ;;;;;;;;;;X
EVT_130261_ACTB;欧州の経済交流を堰き止めて孤立するのは寧ろ我々の方だぞ;;;;;;;;;;X
EVT_130262_NAME;フランスが我が国から資本を引き上げる;;;;;;;;;;X
EVT_130262_DESC;我々の復活に恐怖を覚えているフランスは、ドイツ国内からフランス系資本を予告なく引き上げることでドイツに経済的な損失を与えようとしている。彼らに最早勝者としての余裕はない。奪ったものを取り返されぬかと恐怖する小心な収奪者そのものである。;;;;;;;;;;X
EVT_130262_ACTA;仕方あるまい、代わりにイギリスとの取引を増やせないか？;;;;;;;;;;X
EVT_130262_ACTB;仕方あるまい……;;;;;;;;;;X
EVT_130263_NAME;フランスがドイツから資本を引き上げる;;;;;;;;;;X
EVT_130263_DESC;ドイツはフランスによる大義なき経済制裁を受けて、フランスとの交易により上げられなくなった交易をイギリスと行えないか考えている。戦後の独英の取引はドイツ経済の順調な復活とともに多大な利益を双方に与えていて、イングランド銀行（英中央銀行）はこの動きはむしろ歓迎すべきですらあって、パリが引き上げたのと同じだけの額の出資をロンドンからベルリンに送り込むことでイギリスは更に大きな利益を得られるとしている。シティ・オブ・ロンドンでは早速ドイツの上がり目企業への出資合戦が始まっている。;;;;;;;;;;X
EVT_130263_ACTA;では、ライヒスマルクとポンドで握手といこうか！;;;;;;;;;;X
EVT_130263_ACTB;フランスとの関係のほうが大事だ、黙らせろ！;;;;;;;;;;X
EVT_130264_NAME;英独経済協定の発効;;;;;;;;;;X
EVT_130264_DESC;フランス資本のドイツからの引き上げにより空いた外資の空白は、イギリスが瞬く間に補填してドイツの対外貿易による損失は最小化された。イギリスもドイツの新産業の株式から得られる利益に期待しており、フランスによる投資の一斉引き上げによって一時閉鎖が噂されたフランクフルト証券取引所はその日の夕方にはイギリスによる出資ラッシュを受けてたった半日で天国と地獄と、そして天国を行き来した。ともあれ、我々は大丈夫そうである。イギリスが我々と友情を保ってくれるならば。;;;;;;;;;;X
EVT_130264_ACTA;英独の新時代に万歳！;;;;;;;;;;X
EVT_130265_NAME;フランス共和国の政治的不安定 ― 首相の交代;;;;;;;;;;X
EVT_130265_DESC;ドイツの好景気と対象になるような不景気と国内での反独感情の（再びの）興りを受けて、我が国は政治的に不安定となりつつある。今日もまた首相がすげ替えられたわけだが、おそらく彼も有権者の人気を得るために存在しないドイツの脅威を唱えて党内闘争を勝ち上がってきただけの者なのだろう。;;;;;;;;;;X
EVT_130266_NAME;フランス共和国の政治的不安定 ― 大統領の交代;;;;;;;;;;X
EVT_130266_DESC;ドイツの好景気と対象になるような不景気と国内での反独感情の（再びの）興りを受けて、我が国は政治的に不安定となりつつある。この状態では大統領も任期を全うできるとも限らず、政府の動向に巻き込まれて臨時の大統領選挙を必要とすることもあった。フランス共和制では大統領の顕現は儀礼的なものでしかないため、このような状況に逆らうことは難しいのである。;;;;;;;;;;X
EVT_130300_NAME;フランス海岸防衛線;;;;;;;;;;X
EVT_130300_DESC;フランス戦の後すぐに、ドイツは連合軍のフランス沿岸への上陸を阻止するため、フランス北海岸沿いに沿岸要塞群を築く工事を開始した。史実では資材不足のため、防衛線の構築は十分ではなく、結果的に連合軍はノルマンディー上陸作戦を成功させた。;;;;;;;;;;X
EVT_130300_ACTA;建設を開始せよ;;;;;;;;;;X
EVT_130300_ACTB;建設は不要だ;;;;;;;;;;X
EVT_130301_NAME;フランス海岸防衛線の完成;;;;;;;;;;X
EVT_130301_DESC;連合軍のフランス上陸を阻止するため築いたフランス北海岸沿いの沿岸要塞群が完成した。史実では資材不足のため、防衛線の構築は十分ではなく、結果的に連合軍はノルマンディー上陸作戦を成功させた。;;;;;;;;;;X
EVT_130301_ACTA;役に立つのだろうか……。;;;;;;;;;;X
EVT_130302_NAME;ノルウェー海岸防衛線;;;;;;;;;;X
EVT_130302_DESC;ノルウェー戦の後すぐに、ドイツは連合軍のノルウェー沿岸への上陸を阻止するため、ノルウェー海岸沿いに沿岸要塞群を築く工事を開始した。史実では資材不足のため、防衛線の構築は十分ではなかったが、ノルウェーは連合軍の主だった攻勢の対象とはならなかった。;;;;;;;;;;X
EVT_130303_NAME;ノルウェー海岸防衛線の完成;;;;;;;;;;X
EVT_130303_DESC;連合軍のノルウェー上陸を阻止するため築いたノルウェー海岸沿いの沿岸要塞群が完成した。史実では資材不足のため、防衛線の構築は十分ではなかったが、ノルウェーは連合軍の主だった攻勢の対象とはならなかった。;;;;;;;;;;X
EVT_130304_NAME;大西洋の壁の強化;;;;;;;;;;X
EVT_130304_DESC;ドイツ軍が大西洋沿いに築いた沿岸要塞は、資源の不足もあり十分な防御力を持つとは言えないものであった。1943年8月にロンメルがフランスを担当するB軍集団の指揮官に任命された際、彼は大西洋の壁の不十分な設備に愕然として即座に改修を命じた。もしロンメルがヒトラー暗殺未遂事件によって失脚せず、彼の要塞強化の意見が完全に容れられた場合、「大西洋の壁」は見かけ倒しの障害ではなく、連合軍にとって大きな障害になっていた可能性がある。;;;;;;;;;;X
