##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;ｧA = 0,64,0;;;;;;;;;;X
##;ｧB = 0,0,192;;;;;;;;;;X
##;ｧC = 128,0,0;;;;;;;;;;X
##;ｧD = 255,255,0;;;;;;;;;;X
##;ｧE = 255,0,255;;;;;;;;;;X
##;ｧF = 255,128,0;;;;;;;;;;X
##;ｧG = 0,100,0;;;;;;;;;;X
##;ｧH = 128,128, 128;;;;;;;;;;X
##;ｧI = 0,0,255;;;;;;;;;;X
##;ｧJ = 0,192,0;;;;;;;;;;X
##;ｧM = 100,255,100;;;;;;;;;;X
##;ｧN = 255,100,100;;;;;;;;;;X
##;ｧR = 240,0,0;;;;;;;;;;X
##;ｧW = 255,255,255;;;;;;;;;;X
##;ｧY = 208,232,248;;;;;;;;;;X
##;ｧZ = 0,0,0;;;;;;;;;;X
##;ｧｧ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
# STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
# ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
ALLIANCE_ENTENTE;協商国;T. Entente;;;;;;;;;X
DPERSONALITY_OLD_GENERAL;『元陸軍大将』が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である陸軍の充実に力を注ぎます。;The Old General was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Army.;;;;;;;;;X
DPERSONALITY_OLD_ADMIRAL;『元海軍大将』が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である海軍の充実に力を注ぎます。;The Old Admiral was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Navy.;;;;;;;;;X
DPERSONALITY_OLD_AIR_MARSHAL;『元空軍大将』が現在の職に任命されたのは、この人物の支持母体の大きさ、あるいはかつての戦功のおかげです。政治に対する関心が低く、これといった知識も持たない彼は、唯一の関心事である空軍の充実に力を注ぎます。;The Air Marshal was appointed because of his power base and sometimes because of his glorious past. Not very interested or skilled in politics, he pursues his foremost interest: the state of the Air Force.;;;;;;;;;X
DPERSONALITY_POLITICAL_PROTEGE;『権力者の腰ぎんちゃく』とは権力者の子分、つまり元首の信頼が厚い人物です。この人物はそれほど人気があるわけでも、有能なわけでもありません。彼が現在の地位を得たのは、忠実でしかも多くのコネを持っていたからです。;The Political Protege is a political crony, a confidant of the Head of State. He is neither very liked nor very competent. He was chosen because he was loyal and had a large net of contacts.;;;;;;;;;X
DPERSONALITY_AMBITIOUS_UNION_BOSS;『野心に燃える元労働組合代表』は強引な性格の人物で、世の中を変えるために政治の世界に身を投じました。今でも労働者の味方であることに変わりはありませんが、新しい環境の影響でかつての過激さは影を潜めています。交渉の場では手強い相手となりますが、実務能力は高くありません。また、ときにはその経歴が足かせとなることもあります。;The Ambitious Union Boss is a harsh man who turned to politics to get the power to change things. He is still a man of the working class but his new environment has curbed his radicalism. He is a tough negotiator but lacks administrative skill. His background is also a liability in some circumstances.;;;;;;;;;X
DPERSONALITY_CORPORATE_SUIT;『元ビジネスマン』は人生のほとんどを政治と関わりのない企業社会で過ごしてきました。無任所大臣として政界に入りましたが、有能さと協調性によってトップの座にまでのぼり詰めました。政治の世界で彼は巨大な人脈を作り上げましたが、それでも基本的に門外漢であることに変わりはありません。;The Corporate Suit has spent his life in the business world, far away from politics. He was originally brought in as an independent minister, but due his competence and cooperation skills he has reached the top. He has formed a large network of contacts, but he is out of place in politics.;;;;;;;;;X
DPERSONALITY_OIL_BARON;『石油王』は石油産業で影響力のある人物です。彼には、多くの産業と企業との関係を持つか、支配下しています。そして、石油の産出と精製ビジネスで肯定的な影響を持っています。;The Oil Baron is a powerful person in the oil industry. He controls or has connections with many industries and companies and he has a positive influence in the oil extraction and refining business.;;;;;;;;;X
DPERSONALITY_STEEL_MAGNATE;『鉄鋼王』は製鋼産業で有力な地位を占める鉄鋼業界の重要人物です。彼に地位を与えると産業の生産性を高めて、自国の鉄鋼製品の生産と販売を上げることができます。;The Steel Magnate has a prominent place in the steel making industry and is a key person in the steel markets. He can use his position to increase the productivity of his industries and boost the production and sale of metal products in his country.;;;;;;;;;X
DPERSONALITY_INDUSTRIAL_CHEMIST;『工業化学者』には、化学産業という重要な役割があります。彼は、新しい物質、過程、および製品を開発して、科学知識を増加させることに知識を使用します。;The Industrial Chemist has a important position the chemical industry. He uses his knowledge to develop new substances, processes and products and to increase scientific knowledge.;;;;;;;;;X
DPERSONALITY_MEDIA_MAGNATE;『メディア王』はメディア事業に有力な地位を持つ人物です。彼は、通常、複数の新聞やラジオ放送網を所有して、世論に影響を及ぼすために使用します。;The Media Magnate is a person with a dominant position in a media enterprise. He usually owns one or more newspapers or radio networks and can use them to influence the public opinion.;;;;;;;;;X
DPERSONALITY_FOCH;『フェルディナン・フォッシュ』（1851年10月2日 - 1929年3月20日）は、フランス軍人で軍事理論家でした。彼の考える軍事ドクトリンは固い信念によって形成され、当時としては珍しく勝利をもたらすために征服の意志を持っていました。彼は圧倒的な軍事力に対して防御を成功させ、その後の反撃ではしばしば成功を収めました。;Ferdinand Foch was a French soldier and military theorist. His thinking on military doctrine was shaped by the unshakeable belief, uncommon at the time, that the will to conquer is the first condition of victory. He was able to defend against overwhelming forces and his subsequent counterattacks were often successful.;;;;;;;;;X
DPERSONALITY_HINDENBURG;『パウル・フォン・ヒンデンブルク』（1847年10月2日 - 1934年8月2日）は、プロイセンおよびドイツの軍人であり、ドイツ帝国元帥でした。ヒンデンブルクの軍事的能力は平凡でありましたが、一連の大勝利を彼にもたらした有能な参謀チームを配下に持っていました。これらの勝利によって、ヒンデンブルクはドイツで最も人気がある人物になりました。戦争の間、ドイツ全土にヒンデンブルクの彫像が作られ、彼の名で資金を集めるための戦時公債が発行されました。;Paul von Hindenburg was a Prussian/German field marshal. Though Hindenburg was only average in terms of military ability, he had a team of talented and able subordinates who won him a series of great victories. These victories transformed Hindenburg into Germany's most popular man. During the war, there were wooden statues of Hindenburg built all over Germany, onto which people nailed money and cheques for war bonds.;;;;;;;;;X
DPERSONALITY_CADORNA;『ルーイジ・カドルナ』（1850年9月4日 - 1928年12月21日）は、第一次世界大戦の最初期に最も有名になったイタリア王国の参謀本部長で陸軍元帥でした。後世の歴史家は、兵士に対して冷徹で政府の意見や状態を考慮しないカドルナを「規律家」と評しました。戦争の間、彼は、217人の将校を更迭して、少なくとも750人の兵士を処刑しました。最後まで、彼は、敗北の責任を認めることを断固として拒否しました。;Luigi Cadorna was an Italian Field Marshal, most famous for being the chief of staff of the Italian army during the first part of World War I. Historians describe Cadorna as a martinet, ruthless with his troops and dismissive of his country's political authorities. During the course of war he fired 217 officers and executed at least 750 soldiers. Until the end he stubbornly refused to admit responsibility for his defeats.;;;;;;;;;X
DPERSONALITY_BRUSILOV;『アレクセイ・アレクセーヴィッチ・ブルシーロフ』（1853年8月19日 - 1926年3月17日）は、ロシア帝国陸軍によって使用された新しい攻勢戦術の開発で最も有名なロシア帝国陸軍の将軍です。ブルシーロフは、少数の特殊部隊に敵の塹壕線の弱点に対して攻撃させ、後続の軍のための突破口を開かせるというものでした。;Aleksei Alekseevich Brusilov was a Russian general most noted for the development of new offensive tactics used by the Imperial Russian Army. Brusilov used smaller specialized units of soldiers to attack weak points in the enemy trench lines and blow open holes for the rest of the Army to advance into.;;;;;;;;;X
DPERSONALITY_WILHELM_II;『ヴィルヘルム2世』（1859年1月27日 - 1941年6月4日）は、フリードリヒ・ヴィルヘルム・ヴィクトル・アルベルト・フォン・プロイセンとして、1859年1月27日に誕生しました。プロイセン王国国王・ドイツ帝国皇帝として1888年6月15日に即位しました。治世における内政面では、労働者の労働環境を改善する様々な法を支持し、特に女性と子供の保護を通じて、労働者の保護につとめしました。外交政策では帝国主義的な膨張政策を展開して、欧州列強との対立を招きました。軍事政策では大規模な建艦計画を開始し、艦隊増強の指針を定めましたが、しばしば軍部の方針決定に干渉しました。;Wilhelm II, born Frederick William Victor Albert of Prussia, was crowned German Emperor and King of Prussia on 15 June 1888. During his reign, he supported various laws which improved working conditions, protected women and children and regulated labor relations. In Foreign policy, he undertook various spectacular acts in the international sphere that led to frictions with many European countries. In the military sphere, he decided to pursue a policy of massive naval construction, but he let his generals influence him and dictate his policy.;;;;;;;;;X
DPERSONALITY_NICHOLAS_II;『ニコライ2世』（1868年5月18日 - 1918年7月17日）は1896年5月26日に全ロシア皇帝に即位しました。治世では日露戦争での敗戦、政府に対する革命の動きを粉砕するため、反ユダヤ主義を推進しました。;Nicholas II was crowned Emperor and Autocrat of All the Russias on 26 May 1896. Under his rule, Russia was defeated in the Russo-Japanese War, anti-semitic pogroms were encouraged and rebellions against the government crippled the country.;;;;;;;;;X
DPERSONALITY_CLEMENCEAU;『ジョルジュ・クレマンソー』（1841年9月28日 - 1929年11月24日）は、フランスの政治家・医師・ジャーナリストであり、フランスの首相になった人物でした。戦時指導者としての決断にちなんで、ラ・ティグレ（猛虎）という愛称で呼ばれています。;Georges Benjamin Clemenceau was a French statesman, physician, journalist who became Prime Minister of France. He is commonly nicknamed Le Tigre (The Tiger) for his determination as a wartime leader.;;;;;;;;;X
DPERSONALITY_FRANZ_JOSEPH_I;『フランツ・ヨーゼフ1世』（1830年8月18日 - 1916年11月21日）は、1848年12月2日からオーストリア皇帝・ハンガリー国王・ボヘミア国王・クロアチア国王の地位にありました。治世においてはプロイセンの台頭、イタリア統一、および1867年のオーストリア・ハンガリー二重帝国成立といったオーストリアの国内外政策における数々の危機的状況に直面していました。軍事面での敗北にもかかわらず、フランツ・ヨーゼフ1世の威厳は維持され、その象徴的権威により、かろうじて帝国の統一を維持しました。;Franz Joseph I was Emperor of Austria, King of Bohemia, King of Croatia and Apostolic King of Hungary since 2 December 1848. Durign his reign, he faced several failures of Austrian external and internal policy like the rise of power of Prussia, the unification of Italy and the Austro-Hungarian Compromise of 1867. Despite the military failures, Franz Joseph remained immensely respected and his patriarchal authority held the Empire together.;;;;;;;;;X
DPERSONALITY_WILSON;『トーマス・ウッドロー・ウィルソン』（1856年12月28日 - 1924年2月3日）は第28代合衆国大統領でした。外交政策では、あからさまな紛争での中立的立場と回避の推進を行いました。彼は戦争遂行を軍の手にゆだね、外交および財政問題に焦点を合わせました。その結果、国際外交を変革しました。;Thomas Woodrow Wilson was the 28th President of the United States. In foreign policy, he campaigned for neutrality and avoidance of open conflicts. He focused on diplomacy and financial considerations, leaving the waging of the war primarily in the hands of the Army. He promoted the idea of self-determination and thus revolutionized international diplomacy.;;;;;;;;;X
NPERSONALITY_HITLER;偏執的誇大妄想家;Paranoid megalomaniac;;;;;;;;;X
DPERSONALITY_HITLER;『アドルフ・ヒトラー』（1889年4月20日 - 1945年4月30日）は、オーストリア出身のドイツ政治家で、ナチスとして知られる国家社会主義ドイツ労働者党の指導者でした。1933年に首相、1934年以降は国家元首（指導者兼首相＝総統）に就任し、ドイツの独裁者として君臨しました。;Adolf Hitler was an Austrian-born German politician and the leader of the National Socialist German Workers Party, commonly known as the Nazi Party. He Became absolute dictator of Germany in 1934, with the title of chancellor from 1933 and with the title head of state (Fuhrer und Reichskanzler) from 1934 onwards.;;;;;;;;;X
NPERSONALITY_STALIN;偏執的誇大妄想家;Paranoid megalomaniac;;;;;;;;;X
DPERSONALITY_STALIN;『ヨシフ・ヴィッサリオノヴィッチ・スターリン』（1878年12月18日 - 1953年3月5日）は、1922年にソビエト連邦共産党中央委員会・初代書記長に就任しました。1924年に死去したレーニンの後任として、ソビエト連邦の最高指導者に就任しました。;Joseph Vissarionovich Stalin was the first General Secretary of the Communist Party of the Soviet Union's Central Committee in 1922. In the years following Lenin's death in 1924, he rose to become the leader of the Soviet Union.;;;;;;;;;X
NPERSONALITY_CHURCHILL;頑固な人物;Bulldog;;;;;;;;;X
DPERSONALITY_CHURCHILL;『サー・ウィンストン・レナード・スペンサー＝チャーチル』（1874年11月30日 - 1965年1月24日）は政治上重要な内閣のポストを多く歴任しました。彼は第一次アスキス自由党内閣の一員として海相（第一海軍卿）・商務相・内務相を歴任しました。有名な政治家で演説家でもあるチャーチルは、イギリス陸軍の将校・歴史家・作家・芸術家という顔も持っていました。;Sir Winston Leonard Spencer-Churchill held many political and cabinet positions. He served as President of the Board of Trade, Home Secretary and First Lord of the Admiralty as part of the Asquith Liberal government. A noted statesman and orator, Churchill was also an officer in the British Army, a historian, writer and artist.;;;;;;;;;X
NPERSONALITY_MUSSOLINI;帝国主義者な道化師;Imperialist buffoon;;;;;;;;;X
DPERSONALITY_MUSSOLINI;『ベニート・アミルカレ・アンドレア・ムッソリーニ』（1883年7月29日 - 1945年4月28日）は、国家ファシスタ党を指導したイタリアの政治家であり、ファシズム理論を創造した重要人物のひとりであることで知られています。彼は、1922年に第40代イタリア首相に就任し、1925年に統帥（ドゥーチェ）の称号を使用し始めました。;Benito Amilcare Andrea Mussolini was an Italian politician who led the National Fascist Party and is credited with being one of the key figures in the creation of Fascism. He became the 40th Prime Minister of Italy in 1922 and began using the title Duce by 1925.;;;;;;;;;X
NPERSONALITY_ROOSEVELT;民主主義の理想家;Democratic idealist;;;;;;;;;X
DPERSONALITY_ROOSEVELT;『フランクリン・デラノ・ルーズベルト（FDR）』（1882年1月30日 - 1945年4月12日）は、第32代合衆国大統領であり、20世紀中盤の世界的な事件での中心人物でした。世界恐慌と世界大戦の期間、合衆国を率いていました。FDRの楽観主義と経済における行動主義の組み合わせは、世界恐慌が政治的危機に発展しないように防いだことでしばしば称賛されました。;Franklin Delano Roosevelt was the 32nd President of the United States and a central figure in world events during the mid-20th century, leading the United States during a time of worldwide economic crisis and world war. FDR's combination of optimism and economic activism is often credited with keeping the country's economic crisis from developing into a political crisis.;;;;;;;;;X
NPERSONALITY_HIROHITO;神州皇国の守護者;Gurdian of Japanese Empire;;;;;;;;;X
DPERSONALITY_HIROHITO;『昭和天皇』（1901年4月29日 - 1989年1月7日）は伝統的秩序による第124代日本国天皇です。1926年2月25日に即位し、日本社会に対して大きな変革をもたらしました。;The Showa Emperor was the 124th emperor of Japan according to the traditional order. His reign began on December 25, 1926 and encompassed a period of tremendous change in Japanese society. ;;;;;;;;;X
NPERSONALITY_SPEER;天才的調整家;Genius organizer;;;;;;;;;X
DPERSONALITY_SPEER;『ベルトルト・コンラート・ヘルマン・アルベルト・シュペーア』（1905年3月19日 - 1981年9月1日）はドイツの建築家でヒトラーの側近の一人として知られています。シュペーアは総統官邸や党大会が行われたニュルンベルクのツェッペリンフェルト・スタジアムを含む多く建築物を建設しました。また、壮大なベルリン再開発計画を立案しました。それは、大規模な建築物群と広い街路および再構成された交通網を持っていました。;Albert Speer was a German architect a member of Hitler's inner circle. Speer construct a number of structures, including the Reich Chancellery and the Zeppelinfeld stadium in Nuremberg where Party rallies were held. He also made plans to reconstruct Berlin on a grand scale, with huge buildings, wide boulevards, and a reorganized transportation system.;;;;;;;;;X
NPERSONALITY_ZAPATA;革命家ゲリラ戦士;Revolutionary Guerilla Fighter;;;;;;;;;X
DPERSONALITY_ZAPATA;『エミリアーノ・サパタ』（1879年8月8日 - 1919年4月10日）はメキシコ革命の指導者の一人でメキシコの国民的な英雄のうちの一人です。彼は南部自由軍を率い、小作農民に対する農地改革と自由選挙を主な要求とし、「改革、自由、裁判、および憲法」をスローガンとして掲げました。軍事物資の補給に制限があったため、サパタ派軍全体の戦略はゲリラ戦に基づき成功を収めました。;Emiliano Zapata was one of the leading figures in the Mexican Revolution. He inspired, formed and led the Liberation Army of the South and his main demands and slogan was 'Reform, Freedom, Justice and Law!' which refered to the need for an agrarian reform in favor of the farmers and the need for free elections. Since military supplies were lacking then whole strategy of the Zapatistas was succesfully based on guerilla warfare.;;;;;;;;;X
NPERSONALITY_ZAPATA2;革命指導者;Revolutionary leader;;;;;;;;;X
DPERSONALITY_ZAPATA2;『エミリアーノ・サパタ』（1879年8月8日 - 1919年4月10日）はメキシコ連邦政府軍に対する成功したゲリラ戦とサパタ派軍の支配下にある地域での民衆のための社会改革を導入を組織しました。彼の南部自由軍の勢力は大きく、それは彼のカリスマ性、ゲリラ戦略と社会の労働者階級からの支援に基づくものでした。;Emiliano Zapata organized both a succesfull guerilla war against the federal forces and managed to introduce popular social reforms in the regions held by the Zapatistas. The power of his Liberation Army of the South was largerly based on his charisma, guerilla strategy and the support from the lower classes of the society.;;;;;;;;;X
NPERSONALITY_GUERILLA_WARFARE_DOCTRINE;ゲリラ戦ドクトリン;Guerilla warfare doctrine;;;;;;;;;X
DPERSONALITY_GUERILLA_WARFARE_DOCTRINE;ゲリラ戦は主に待ち伏せ、妨害、襲撃または桁外れた機動性を持つヒットエンドラン戦法という非正規戦術の型です。通常戦闘部隊は地形を有効活用するため機動性、軽装備の小隊規模で、現地住民の支援を受けます。師団や軍団レベルの敵に対して使用することで成功を収めました。このような戦術はしばしば装備の良い敵にとの遭遇では非対称戦と呼ばれます。ゲリラ戦は20世紀の戦略における、より緻密な戦術手法と相対しても効果的であると判明しました。ゲリラ兵という表現は事実上、ナポレオンに抵抗したスペイン人集団に由来します。;Guerilla warfare is a form of irregular warfare which is mainly based on such military tactics as ambushes, sabotage, raids or surprise hit and run attacks and extraordinary mobility. Fighting forces usually consist of small, mobile, lightly armed groups, that take advantage of terrain and usually have support of the local population. But it has been succesfully used on divisional and army level as well. Such warfare often is asymmetrical being engaged against better equipped enemy, though guerilla warfare proved to be effective even in the face of ever more sophisticated warfare tools and strategies of the 20th century. The term of guerilla fighters is traced back to Spanish bands who effectively opposed Napoleon.;;;;;;;;;X
##;;;;;;;;;;;X
SOVSFR;ロシア・ソビエト共和国;Soviet Russian Republic;;;;;;;;;X
NPERSONALITY_PLANNED_ECONOMY_PROPONENT;計画経済の提唱者;Planned Economy Proponent;;;;;;;;;X
DPERSONALITY_PLANNED_ECONOMY_PROPONENT;『計画経済の提唱者』は経済の資源配分を市場の価格調整メカニズムに任せるのではなく、国家計画に基づいて物財のバランス配分する経済体制を実現しようとしています。;A planned economy is an economic system in which decisions regarding production and investment are embodied in a plan formulated by a central authority, usually by a government agency.;;;;;;;;;X
NPERSONALITY_KEYNESIAN;ケインズ経済学の提唱者;Keynesian Economy Proponent;;;;;;;;;X
DPERSONALITY_KEYNESIAN;『ケインズ経済学の提唱者』は、民間の有効需要の水準によって国民所得と雇用が決定され、経済が不況のときに政府が公共投資を増やし、景気の落ち込みを防ぐというケインズ経済学を実践しようとしています。;Keynesian economics argues that private sector decisions sometimes lead to inefficient macroeconomic outcomes and, therefore, advocates active policy responses by the public sector, including monetary policy actions by the central bank and fiscal policy actions by the government to stabilize output over the business cycle.;;;;;;;;;X
NPERSONALITY_REFORMER;軍の改革者;Reformer of the Army;;;;;;;;;X
DPERSONALITY_REFORMER;『軍の改革者』は、軍隊の近代化に全力を尽くそうとしています。;The Reformer of the Army concentrates his effort on the modernization of the armed forces.;;;;;;;;;X
NPERSONALITY_CONSTRUCTION_MAGNATE;建設王;Construction Magnate;;;;;;;;;X
DPERSONALITY_CONSTRUCTION_MAGNATE;『建設王』は、建設業界での大きな実力を持っています。彼は産業の生産性を向上させて、道路、空港、海軍基地等のインフラ建設の効率を向上させることができます。;The Construction Magnate has a prominent place in the construction industry. He can use his position to increase the productivity of his industries and boost the construction of roads, airports, naval base and others infrastructures.;;;;;;;;;X
NPERSONALITY_BUDGET;財政均衡経済の提唱者;Balanced Budget Proponent;;;;;;;;;X
DPERSONALITY_BUDGET;『財政均衡経済の提唱者』は均衡予算、金融引締め、福祉に対する制限および対外援助を削減し、いわゆる「トリクルダウン（金持ちを儲けさせれば貧乏人もおこぼれに与れるという政治思想でレッセフェール（自由放任主義）につながるものである）」と戦います。;This minister fights to have a balanced budget, with tight money, limits on welfare and foreign aid.;;;;;;;;;X
NPERSONALITY_MIXED;混合経済の提唱者;Mixed Economy Proponent;;;;;;;;;X
DPERSONALITY_MIXED;『混合経済の提唱者』は、計画経済と市場経済の混合システムである混合経済を推進しようとします。混合経済とは自由放任の政治経済の思想に対し、多くの国営企業が市場に参入したり、政府が経済政策を主導し、社会経済に多くの影響力を行使する経済体制を実現しようとします。;Mixed economy is an economic system in which both the state and the private sector direct the economy, with characteristics proper of both market economies and planned economies. Most mixed economies can be described as market economies with strong regulatory oversight, in addition to having a variety of government-sponsored aspects.;;;;;;;;;X
NPERSONALITY_HEALTH;社会福祉の提唱者;Health and Safety Proponent;;;;;;;;;X
DPERSONALITY_HEALTH;『社会福祉の提唱者』は、政府の主目的が労働者の安全対策や医療制度を改善することだと信じています。;Health and Safety Proponent believes that the primary purpose of a government is to improve the workers' safety and the health care system.;;;;;;;;;X
NPERSONALITY_POLICE;秘密警察の人物;Chief of Secret Police;;;;;;;;;X
DPERSONALITY_POLICE;『秘密警察の人物』は、地域住民内の不満や反政府的な不穏分子を排除するため、その地位を利用します。;The Chief of Secret Police uses his position to root out dissent and disloyal elements within the local population.;;;;;;;;;X
NPERSONALITY_COMMANDO_DOCTRINE;特殊部隊の提唱者;The Special Forces Proponent;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_ARMY;『特殊部隊の提唱者』は、高度に訓練された特別部隊の投入こそが戦争を有利に導く鍵であると信じています。;This Chief of the Army belives that the use of highly trained Special Forces can make the difference in the battle.;;;;;;;;;X
DPERSONALITY_COMMANDO_DOCTRINE_STAFF;『特殊部隊の提唱者』である参謀総長は、特殊部隊の有用性を信じ、小さなグループだが高度に訓練された部隊が近代戦の鍵であることを信じています。;This Chief of the Staff believes in the use of Special Forces and teaches that small but highly trained formations are the essence of modern warfare.;;;;;;;;;X
NPERSONALITY_AUTONOMY_DOCTRINE;自立性ドクトリン;The Doctrine of Autonomy;;;;;;;;;X
DPERSONALITY_AUTONOMY_DOCTRINE;『自立性ドクトリン』の参謀総長は、実戦指揮官の自主性を重視し、戦場の実戦指揮官に命令の自由裁量を与えることが戦争に勝つ鍵であると信じています。;This Chief of the Staff believes in the Doctrine of Autonomy. This means that allowing the operational commanders freedom of command is essential for winning the war.;;;;;;;;;X
NPERSONALITY_REICHSKOMMISSAR;ドイツ国家弁務官;Reichskommissar;;;;;;;;;X
DPERSONALITY_REICHSKOMMISSAR;『ドイツ国家弁務官（Reichskommissar）』は、アドルフ・ヒトラーから与えられた地位です。第二次世界大戦中に占領された地域では、ドイツ国家弁務官を指導者とする占領地域委員会（Reichskommissariat）が組織され、独裁・抑圧的な方法で割り当てられた地域を統治する最高行政機関となりました。;The title of Reichskommissar was given by Adolf Hitler to a number of Nazi governors in several occupied countries during World War II. The Reichskommissars were the supreme civil authorities in their assigned territories, usually ruling with dictatorial and repressive methods.;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_ger_mil_m1;ヴァルデマール・パイパー;German Military Mission;;;;;;;;;X
DPERSONALITY_ger_mil_m1;『ヴァルデマール・パイパー』（1871年8月14日 - 1945年2月24日）は、ドイツ海軍軍人です。艦長として指揮した装甲巡洋艦「SMS ヨルク」の沈没の責任を負うことになりました。1914年11月4日「SMS ヨルク」は濃霧の中、ヴィルヘルムスハーフェンへ向けて出航しましたが、ドイツ軍敷設の機雷に触雷して転覆沈没しました。乗員336人が死亡し、海防戦艦「SMS ハーゲン」によって381人が救助されました。沈没の責任を問われて逮捕拘禁されることを逃れるために、彼はオスマン帝国軍事顧問団の一員に志願しました。しかし、ヴィルヘルム・ゾーヒョン提督とグイド・フォン・ウーゼドム提督は、彼に顧問団の中でいかなる地位も与えませんでした。その頃、オスマン帝国では弾薬生産が滞っており、戦場で弾薬不足が生じていました。ゾーヒョンは、エンヴィルに対してオスマン帝国の弾薬生産をパイパーの管理下において再編成するように要求しました。すべての工場はドイツの管理下に置かれ、続く2、3か月で生産が改善しました。これらの類まれなる貢献により、ヴィルヘルム2世はパイパーの名誉回復としかるべき地位を与えるように指示しました。;Captain Pieper was made responsible for the sinking of battleship SMS Yorck of which he held command. In the fog his ship collided with a German mine. To prevent being imprisoned he accepted to serve in the military mission to the Ottoman Empire, but Souchon and Usedom refused to give him any position in the staff. At that time, Ottoman's ammunition production was in very disastrous condition and Souchon convinced Enver to reorganize the whole production under the lead of Pieper. In a couple of months all factories came under German control. Because of his extraordinary contribution in this position Wilhelm II has give him a reprieve.;;;;;;;;;X
NPERSONALITY_ger_mil_m2;ハインリヒ・マイスナー;German Military Mission;;;;;;;;;X
